Hawaii Nonprofit Name,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
FRIENDS OF MALUHIA,990323661,FRIENDS OF MALUHIA,% MALUHIA HOSPITAL,1027 HALA DR,HONOLULU,HI,96817-2124,0.0,3.0,3.0,1000.0,200411.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E11,
FRIENDS OF SHRINERS HOSPITALS- HONOLULU INC,264807090,FRIENDS OF SHRINERS HOSPITALS- HONOLULU INC,% A JAMES WRISTON JR,1050 BISHOP ST 106,HONOLULU,HI,96813-4210,0.0,3.0,3.0,1000.0,201305.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,,
FRIENDS OF THE HAWAII DRUG COURT,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRIENDS OF THE KAUAI DRUG COURT,460520304,FRIENDS OF THE KAUAI DRUG COURT,% MARTIN STEINHAUS,3970 KAANA ST,LIHUE,HI,96766-1256,0.0,3.0,3.0,1000.0,200403.0,1.0,15.0,0.0,1.0,1.0,202206.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,F112,
FRIENDS OF THE UNIVERSITY OF HAWAII CANCER CENTER,990207313,FRIENDS OF THE UNIVERSITY OF HAWAII CANCER CENTER,,PO BOX 61962,HONOLULU,HI,96839-1962,0.0,3.0,3.0,1000.0,198109.0,1.0,15.0,161000000.0,1.0,1.0,202312.0,4.0,3.0,1.0,0.0,12.0,209965.0,78381.0,78381.0,Z99Z,
FRIENDSHIP CLUB,990325672,FRIENDSHIP CLUB,% JUDY FIELDS,4-1751 KUHIO HWY,KAPAA,HI,96746-2064,0.0,3.0,3.0,1200.0,199806.0,1.0,15.0,906000000.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F30Z,
FUNCTION AND FORM PHYSICAL THERAPY AND WELLNESS INC,990989897,FUNCTION AND FORM PHYSICAL THERAPY AND WELLNESS INC,,14-4833 SADILEK RD,PAHOA,HI,96778-0000,0.0,3.0,3.0,1000.0,202402.0,1.0,15.0,0.0,1.0,1.0,202412.0,1.0,0.0,2.0,0.0,12.0,1.0,0.0,0.0,E50,
GREGORY HOUSE PROGRAMS,990265111,GREGORY HOUSE PROGRAMS,,200 N VINEYARD BLVD A310,HONOLULU,HI,96817-3950,0.0,3.0,3.0,1000.0,199310.0,1.0,15.0,320000000.0,5.0,1.0,202406.0,8.0,7.0,1.0,0.0,6.0,10512460.0,5068242.0,5000994.0,,
GARMAR FOUNDATION,943276214,GARMAR FOUNDATION,% DELOITTE & TOUCHE LLP,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,199802.0,1.0,4.0,602000000.0,1.0,1.0,202412.0,8.0,7.0,0.0,1.0,12.0,17415322.0,6926997.0,,T90Z,C-O HAWAIIAN TRUST CO LTD
GEORGE F STRAUB TRUST ESTATE,996011145,GEORGE F STRAUB TRUST ESTATE,% BANK OF HAWAII,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,197310.0,1.0,4.0,602000000.0,2.0,1.0,202412.0,6.0,5.0,0.0,1.0,12.0,2402057.0,899465.0,,,
GEORGE N WILCOX GENERAL TRUST,996002445,GEORGE N WILCOX GENERAL TRUST,% BISHOP TRUST CO LTD,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,194201.0,1.0,4.0,602000000.0,2.0,1.0,202412.0,8.0,7.0,0.0,1.0,12.0,20892402.0,6169002.0,,,
GERTRUDE M DAMON TRUST,996002637,GERTRUDE M DAMON TRUST,% FHB PERSONAL TR DIVISION KIM HUBE,PO BOX 37,HONOLULU,HI,96810-0037,0.0,3.0,3.0,1000.0,195903.0,1.0,4.0,325602328.0,2.0,1.0,202412.0,6.0,4.0,0.0,1.0,12.0,1705374.0,433635.0,,,
GGS REDEMPTION,881125173,GGS REDEMPTION,% DEMONT CONNER,86-044 HOAHA ST,WAIANAE,HI,96792-3017,0.0,3.0,3.0,1000.0,202203.0,1.0,4.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,12.0,,,,F01,
GIMME A BREAK,850967354,GIMME A BREAK,% SAVINA MAKALENA,6750 HAWAII KAI DR APT 1408,HONOLULU,HI,96825-1554,0.0,3.0,3.0,1200.0,202005.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,P50,
GLOBAL COVID SUMMIT MAUI,873423069,GLOBAL COVID SUMMIT MAUI,,PO BOX 755,KIHEI,HI,96753-0755,0.0,3.0,3.0,1000.0,202211.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E70,
GOLDEN DREAM FOUNDATION,933466757,GOLDEN DREAM FOUNDATION,,PO BOX 160976,HONOLULU,HI,96816-0922,0.0,3.0,3.0,1000.0,202310.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E19,
GOOD BEARS OF THE WORLD,990303402,GOOD BEARS OF THE WORLD,% MARY JO SEGAWA,711 TWIN VIEW DR,HONOLULU,HI,96817-1615,5185.0,3.0,9.0,1000.0,0.0,1.0,16.0,602000000.0,5.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,,ALOHA DEN
GRACE BRYAN TAYLOR TRUST ESTATE,996003248,GRACE BRYAN TAYLOR TRUST ESTATE,,PO BOX 3170,HONOLULU,HI,96802-3170,0.0,3.0,3.0,1000.0,197207.0,1.0,4.0,602000000.0,2.0,1.0,202409.0,5.0,4.0,0.0,1.0,9.0,550186.0,138112.0,,,
GRAV1TY IMPACT,332874495,GRAV1TY IMPACT,% KAYLEE BRANSTAD,91-1121 KEAUNUI DR,EWA BEACH,HI,96706-6360,0.0,3.0,3.0,1250.0,202501.0,1.0,15.0,0.0,1.0,1.0,,0.0,0.0,2.0,0.0,12.0,,,,E70,
GRIEF AND HAPPINESS ALLIANCE NONPROFIT ORGANIZATION,873293422,GRIEF AND HAPPINESS ALLIANCE NONPROFIT ORGANIZATION,% EMILY THIROUX THREATT,222 ALIIOLANI ST,MAKAWAO,HI,96768-8312,0.0,3.0,3.0,1200.0,202202.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F60,
GROVE FARM COMPANY FOUNDATION,990297416,GROVE FARM COMPANY FOUNDATION,% ERIN TSUDA,3-1850 KAUMUALII HWY,LIHUE,HI,96766-8609,0.0,3.0,3.0,1000.0,199212.0,1.0,4.0,602000000.0,1.0,1.0,202312.0,6.0,4.0,0.0,1.0,12.0,4778807.0,295024.0,,,
GUIDING LIGHT,992224023,GUIDING LIGHT,% LORIBELLE MENDOZA VILLALPANDO,91-888 PUHIKANI ST,EWA BEACH,HI,96706-4018,0.0,3.0,3.0,1000.0,202404.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F99,
H U G S FOR HAWAIIS SERIOUSLY ILL CHILDREN AND THEIR FAMILIES,990213594,H U G S FOR HAWAIIS SERIOUSLY ILL CHILDREN AND THEIR FAMILIES,,3636 KILAUEA AVE,HONOLULU,HI,96816-2318,0.0,3.0,3.0,1000.0,198801.0,1.0,15.0,349000000.0,1.0,1.0,202312.0,6.0,5.0,1.0,0.0,12.0,1461481.0,700610.0,645128.0,E86Z,HUGS-HELP UNDERSTANDING GRP SUPPORT
HAKU BALDWIN CENTER,990292754,HAKU BALDWIN CENTER,,444 MAKAWAO AVE,MAKAWAO,HI,96768-8928,0.0,3.0,3.0,1000.0,199205.0,1.0,15.0,320000000.0,1.0,1.0,202312.0,8.0,5.0,1.0,0.0,12.0,10437655.0,612094.0,579094.0,Z99Z,
HALE KIPA INC,237061499,HALE KIPA INC,,91-2128 OLD FORT WEAVER ROAD,EWA BEACH,HI,96706-1911,0.0,3.0,3.0,1000.0,197006.0,1.0,15.0,399000000.0,1.0,1.0,202406.0,8.0,7.0,1.0,0.0,6.0,16021731.0,7819600.0,7694148.0,P300,
HALE MAKUA,990080460,HALE MAKUA HEALTH SERVICES,,472 KAULANA ST,KAHULUI,HI,96732-2050,0.0,3.0,3.0,1000.0,195503.0,1.0,16.0,150000000.0,1.0,1.0,202312.0,8.0,9.0,1.0,0.0,12.0,23541034.0,51513241.0,51435330.0,E22Z,
HAMAKUA HEALTH CENTER INC,990115515,HAMAKUA HEALTH CENTER INC,,45-549 PLUMERIA ST,HONOKAA,HI,96727-6902,0.0,3.0,3.0,1000.0,199308.0,1.0,16.0,995155000.0,1.0,1.0,202312.0,7.0,8.0,1.0,0.0,12.0,6086411.0,10452389.0,10150147.0,E30,
HAWAII CORD BLOOD BANK,465444360,HAWAII CELLULAR THERAPY AND TRANSPLANT LABORATORY,% HAWAII CORD BLOOD BANK,800 SOUTH BERETANIA STREET 340,HONOLULU,HI,96813-5703,0.0,3.0,3.0,1268.0,201409.0,1.0,21.0,0.0,1.0,1.0,202406.0,5.0,5.0,1.0,0.0,6.0,636438.0,751414.0,257593.0,H99,
HAWAII HEALTH & HARM REDUCTION CENTER,990284222,HAWAII HEALTH & HARM REDUCTION CENTER,,677 ALA MOANA BLVD STE 226,HONOLULU,HI,96813-5416,0.0,3.0,3.0,1000.0,199506.0,1.0,15.0,404000000.0,5.0,1.0,202406.0,7.0,8.0,1.0,0.0,6.0,8033840.0,14019492.0,13940987.0,G81Z,CHOW PROJECT
HAWAII LIONS FOUNDATION,996010563,HAWAII LIONS FOUNDATION,,405 N KUAKINI ST STE 801,HONOLULU,HI,96817-6302,0.0,3.0,3.0,1300.0,196602.0,1.0,16.0,59035000.0,1.0,1.0,202306.0,6.0,4.0,1.0,0.0,6.0,1282029.0,419080.0,419080.0,S80Z,
HEALTHY MOTHERS HEALTHY BABIES COALITION OF HAWAII,990299264,HEALTHY MOTHERS HEALTHY BABIES COALITION OF HAWAII,% SUSAN A COLE,245 N KUKUI ST STE 102A,HONOLULU,HI,96817-3921,0.0,3.0,3.0,1000.0,199212.0,1.0,15.0,994123000.0,1.0,1.0,202406.0,6.0,6.0,1.0,0.0,6.0,2183232.0,3715230.0,3715230.0,E70,HAWAII
HIDA-HAWAII BRANCH OF THE INTERNATIONAL DYSLEXIA ASSOCIATION,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISIS LLC,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
HO OLA LAHUI HAWAII,990250542,HO OLA LAHUI HAWAII,,4491 RICE ST STE 106,LIHUE,HI,96766-1805,0.0,3.0,3.0,1000.0,199611.0,1.0,15.0,320000000.0,1.0,1.0,202309.0,7.0,8.0,1.0,0.0,9.0,7303988.0,10565610.0,10565610.0,P20Z,
HOSPICE OF HILO,990218512,HOSPICE OF HILO,,1011 WAIANUENUE AVE,HILO,HI,96720-2019,0.0,3.0,3.0,1000.0,198303.0,1.0,15.0,179000000.0,1.0,1.0,202412.0,8.0,8.0,1.0,0.0,12.0,15324851.0,11726535.0,11670142.0,P74Z,HAWAII CARE CHOICES
HUALALAI OHANA FOUNDATION,810570716,HUALALAI OHANA FOUNDATION,% JOSEPH SCHELL,PO BOX 5227,KAILUA KONA,HI,96745-5227,0.0,3.0,3.0,1200.0,200211.0,1.0,15.0,0.0,1.0,1.0,202312.0,7.0,6.0,1.0,0.0,12.0,7673869.0,2334640.0,2119253.0,B82,
HA AHA A ATHLETIC HEALTH CARE,880630618,HA AHA A ATHLETIC HEALTH CARE,% RACHEL E LOO,94-280 KOKOIKI PL,MILILANI,HI,96789-2604,0.0,3.0,3.0,1800.0,202203.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E60,
HABILITAT INC,990146306,HABILITAT INC,,45-035 KUHONU PL,KANEOHE,HI,96744-2711,0.0,3.0,3.0,1200.0,197111.0,1.0,15.0,59000000.0,1.0,1.0,202406.0,8.0,7.0,1.0,0.0,6.0,11510408.0,8389234.0,7058597.0,F22Z,
HALE AIKANE,870752589,HALE AIKANE,% TRACEY DAWSON,77-6435 KUAKINI HWY STE 101,KAILUA KONA,HI,96740-2235,0.0,3.0,3.0,1000.0,200606.0,1.0,15.0,0.0,1.0,1.0,202212.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F30,LISA LYNCH
HALE KUA,824899160,HALE KUA,% HALE KUA,900 N NIMITZ HWY STE 210,HONOLULU,HI,96817-6504,0.0,3.0,3.0,1200.0,201907.0,1.0,15.0,0.0,1.0,1.0,202212.0,5.0,5.0,1.0,0.0,12.0,567825.0,562500.0,562500.0,B82,
HALE OLA HOOPAKOLEA INC,990240185,HALE OLA HOOPAKOLEA INC,% NA,89-137 NANAKULI AVE,WAIANAE,HI,96792-4118,0.0,3.0,3.0,2000.0,198510.0,1.0,15.0,166000000.0,1.0,1.0,202306.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,F22Z,
HALE OLA KINO BY ARCADIA,883591628,HALE OLA KINO BY ARCADIA,% VIVIAN LAI,1434 PUNAHOU ST,HONOLULU,HI,96822-4701,0.0,3.0,3.0,1000.0,202303.0,1.0,22.0,0.0,1.0,1.0,202312.0,6.0,7.0,1.0,0.0,12.0,4027193.0,6986999.0,6986999.0,E91,ARCADIA FAMILY OF COMPANIES
HANA HEALTH,510437659,MOLOKAI OHANA HEALTH CARE INC,% SHANNA WILLING CFOO,PO BOX 2040,KAUNAKAKAI,HI,96748-2040,0.0,3.0,3.0,1000.0,200302.0,1.0,15.0,0.0,1.0,1.0,202406.0,6.0,6.0,1.0,0.0,6.0,3345155.0,4136211.0,4136211.0,E32,
HANA MAUI TRUST,996011303,HANA MAUI TRUST,% GRANT SENNER,PO BOX 646,HANA,HI,96713-0646,0.0,3.0,3.0,1000.0,196702.0,1.0,4.0,179561040.0,2.0,1.0,202412.0,6.0,4.0,0.0,1.0,12.0,1017465.0,150106.0,,T31Z,
HANAI COLLECTIVE,921277096,HANAI COLLECTIVE,,68-217 AU ST,WAIALUA,HI,96791-9325,0.0,3.0,3.0,1250.0,202301.0,1.0,15.0,0.0,1.0,1.0,202412.0,1.0,3.0,1.0,0.0,12.0,4582.0,59569.0,59569.0,K40,
HANDS AND VOICES HAWAII,461777189,HANDS AND VOICES HAWAII,,7182 HAWAII KAI DR APT 238,HONOLULU,HI,96825-4100,0.0,3.0,3.0,1000.0,201907.0,1.0,16.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,P87,
HARM REDUCTION HAWAII,990342408,HARM REDUCTION HAWAII,% 1658 LIHOLIHO ST 205,1658 LIHOLIHO ST APT 205,HONOLULU,HI,96822-2968,0.0,3.0,3.0,2100.0,200005.0,1.0,15.0,0.0,1.0,1.0,202112.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E70,
HAWAI I ISLAND HOME FOR RECOVERY INC,481281563,HAWAI I ISLAND HOME FOR RECOVERY INC,% RITA SANDI,440 KAPIOLANI ST,HILO,HI,96720-3937,0.0,3.0,3.0,1200.0,200402.0,1.0,15.0,0.0,1.0,1.0,202312.0,4.0,5.0,1.0,0.0,12.0,154640.0,821830.0,821830.0,L80,FAO
HAWAI'I FOODBANK INC,NOT FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII - AMERICAN NURSES ASSOCIATION,843729726,HAWAII - AMERICAN NURSES ASSOCIATION,% LINDA BEECHINOR,500 LUNALILO HOME ROAD 27-E,HONOLULU,HI,96825-1734,0.0,6.0,3.0,2000.0,202007.0,2.0,0.0,0.0,1.0,1.0,202312.0,3.0,3.0,2.0,0.0,12.0,91531.0,44154.0,44154.0,E03,HAWAII-ANA
HAWAII ACADEMY OF FAMILY PHYSICIANS FOUNDATION,770591315,HAWAII ACADEMY OF FAMILY PHYSICIANS FOUNDATION,% L DEVIBISS,2330 KAOLA WAY APT 7,HONOLULU,HI,96813-1380,0.0,3.0,3.0,1200.0,200211.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,B82,
HAWAII ACADEMY OF NUTRITION AND DIETICS INC,996006380,HAWAII ACADEMY OF NUTRITION AND DIETICS INC,,PO BOX 22298,HONOLULU,HI,96823-2298,0.0,4.0,3.0,1000.0,197301.0,2.0,0.0,999000000.0,5.0,1.0,202405.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,,
HAWAII ALLIANCE FOR PROGRESSIVE ACTION,465537123,HAWAII ALLIANCE FOR PROGRESSIVE ACTION,,PO BOX 1534,KAPAA,HI,96746-7534,0.0,3.0,3.0,1000.0,201407.0,1.0,15.0,0.0,1.0,1.0,202312.0,6.0,5.0,1.0,0.0,12.0,1053038.0,713950.0,713950.0,S99,
HAWAII AREA COMMITTEE,990241292,HAWAII AREA COMMITTEE,,PO BOX 1413,HONOLULU,HI,96806-1413,0.0,3.0,3.0,1000.0,200010.0,1.0,15.0,0.0,1.0,1.0,202412.0,3.0,3.0,2.0,0.0,12.0,92076.0,49374.0,49374.0,F50,
HAWAII ASSOC OF DIR OF NURSINGADMINISTRATION,205356615,HAWAII ASSOC OF DIR OF NURSINGADMINISTRATION,% TRISH SCHULER RN C/O OHANA PACIFI,1111 ACACIA RD APT 225,PEARL CITY,HI,96782-2584,0.0,6.0,3.0,1000.0,200702.0,2.0,0.0,0.0,5.0,1.0,202212.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,S41,
HAWAII ASSOCIATION FOR INFANT MENTAL HEALTH,272592160,HAWAII ASSOCIATION FOR INFANT MENTAL HEALTH,% HI ASSOC FOR INFANT MENTAL HEALTH,94-835 LEIA ST,WAIPAHU,HI,96797-4701,0.0,3.0,3.0,1000.0,201108.0,1.0,15.0,0.0,1.0,1.0,202312.0,6.0,5.0,1.0,0.0,12.0,1149623.0,789639.0,789639.0,F70,FIRST RELATIONSHIPS
HAWAII ASSOCIATION FOR WOUND OSTOMY AND CONTINENCE CARE,208338014,HAWAII ASSOCIATION FOR WOUND OSTOMY AND CONTINENCE CARE,% LYNN IKEDA,2359 KAOLA WAY,HONOLULU,HI,96813-1333,0.0,3.0,3.0,1000.0,200703.0,1.0,15.0,0.0,1.0,1.0,202312.0,3.0,3.0,2.0,0.0,12.0,25385.0,45580.0,36884.0,E70,
HAWAII ASSOCIATION OF NURSE ANESTHETISTS,205131527,HAWAII ASSOCIATION OF NURSE ANESTHETISTS,% NATHANIEL APATOV,PO BOX 3112,HONOLULU,HI,96802-3112,0.0,6.0,3.0,2000.0,200612.0,2.0,0.0,0.0,1.0,1.0,202308.0,4.0,3.0,1.0,0.0,8.0,304008.0,96477.0,96477.0,E90,
HAWAII ASSOCIATION OF OSTEOPATHIC PHYSICIANS AND SURGEONS INC,990345266,HAWAII ASSOCIATION OF OSTEOPATHIC PHYSICIANS AND SURGEONS INC,% DR TERRI KAKUGAWA D O TREASURER,3332 PAHOA AVE,HONOLULU,HI,96816-2122,0.0,3.0,3.0,2000.0,200708.0,1.0,15.0,0.0,1.0,1.0,202412.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E70,
HAWAII AUTISM FOUNDATION,261563850,HAWAII AUTISM FOUNDATION,,320 POOPOO PL,KAILUA,HI,96734-3265,0.0,3.0,3.0,1000.0,200811.0,1.0,15.0,0.0,1.0,1.0,202409.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,E70,
HAWAII BEHAVIORAL HEALTH CONNECTION,991926215,HAWAII BEHAVIORAL HEALTH CONNECTION,% VICTORIA LIOU-JOHNSON,PO BOX 3265,HONOLULU,HI,96801-3265,0.0,3.0,3.0,1250.0,202407.0,1.0,15.0,0.0,1.0,1.0,,0.0,0.0,2.0,0.0,9.0,,,,F01,
HAWAII CANCER CONSORTIUM,452280259,HAWAII CANCER CONSORTIUM,% TERRI FUJII,201 MERCHANT ST STE 1830,HONOLULU,HI,96813-2977,0.0,3.0,3.0,2100.0,201111.0,1.0,15.0,0.0,1.0,1.0,202406.0,6.0,6.0,1.0,0.0,6.0,1649187.0,2401500.0,2401500.0,G30,
HAWAII CANINE ASSISTANCE NETWORK,263334929,HAWAII CANINE ASSISTANCE NETWORK,% JANEL YOSHIMOTO,737 BISHOP STREET SUITE,HONOLULU,HI,96813-3201,0.0,3.0,3.0,1000.0,200903.0,1.0,16.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,D20,
HAWAII CARPENTERS HEALTH & WELFARE TRUST FUND,996014752,HAWAII CARPENTERS HEALTH & WELFARE TRUST FUND,,200 N VINEYARD BLVD,HONOLULU,HI,96817-3950,0.0,9.0,3.0,1000.0,197008.0,2.0,0.0,264179265.0,2.0,1.0,202308.0,9.0,9.0,1.0,0.0,12.0,322353153.0,58465494.0,58274819.0,,
HAWAII CELLULAR THERAPY AND TRANSPLANT LABORATORY,465444360,HAWAII CELLULAR THERAPY AND TRANSPLANT LABORATORY,% HAWAII CORD BLOOD BANK,800 SOUTH BERETANIA STREET 340,HONOLULU,HI,96813-5703,0.0,3.0,3.0,1268.0,201409.0,1.0,21.0,0.0,1.0,1.0,202406.0,5.0,5.0,1.0,0.0,6.0,636438.0,751414.0,257593.0,H99,
HAWAII CHILDRENS CANCER FOUNDATION,990299937,HAWAII CHILDRENS CANCER FOUNDATION,,1814 LILIHA ST,HONOLULU,HI,96817-2324,0.0,3.0,3.0,1000.0,199303.0,1.0,15.0,320000000.0,1.0,1.0,202406.0,6.0,5.0,1.0,0.0,6.0,1202665.0,554846.0,529788.0,Z99Z,
HAWAII CHILDRENS CENTER,853496812,HAWAII CHILDRENS CENTER,% ANGELA SAVAGE,PO BOX 1733,HILO,HI,96721-1733,0.0,3.0,3.0,1000.0,202203.0,1.0,16.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E50,
HAWAII COALITION AGAINST SEXUAL ASSAULT,030397547,HAWAII COALITION AGAINST SEXUAL ASSAULT,% LEGAL AID SOCIETY OF HAWAII,PO BOX 10596,HONOLULU,HI,96816-0596,0.0,3.0,3.0,2100.0,200207.0,1.0,15.0,0.0,1.0,1.0,202312.0,1.0,4.0,1.0,0.0,12.0,1014.0,181460.0,181460.0,P80,
HAWAII COALITION FOR HEALTH,943266455,HAWAII COALITION FOR HEALTH,% RAFAEL DEL CASTILLO,289 KAWAIHAE ST APT 222,HONOLULU,HI,96825-1901,0.0,3.0,3.0,1000.0,202203.0,1.0,16.0,994531000.0,1.0,1.0,202312.0,6.0,4.0,1.0,0.0,12.0,1300737.0,409698.0,409698.0,E31,
HAWAII COMMUNITY ACCESS,931755452,HAWAII COMMUNITY ACCESS,% MELISSA CHONG,111 KULANIHAKOI ST,KIHEI,HI,96753-7348,0.0,3.0,3.0,1200.0,202306.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,E60,
HAWAII COPD COALITION,352328693,HAWAII COPD COALITION,% VALERIE CHANG,PO BOX 240053,HONOLULU,HI,96824-0053,0.0,3.0,3.0,1200.0,200806.0,1.0,15.0,0.0,1.0,1.0,202312.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,F52,
HAWAII DENTAL ASSOCIATION,813947506,HAWAII DENTAL ASSOCIATION FOUNDATION INC,% GARY YONEMOTO,500 ALA MOANA BLVD SUITE 7-411,HONOLULU,HI,96813-4902,0.0,3.0,3.0,2000.0,201611.0,1.0,15.0,0.0,1.0,1.0,202312.0,5.0,5.0,1.0,0.0,12.0,759112.0,648098.0,519562.0,B99,
HAWAII DENTAL SERVICE,990107971,HAWAII DENTAL SERVICE,% CHERYL TAKITANI-SMITH,900 FORT ST MALL STE1900,HONOLULU,HI,96813-3705,0.0,4.0,3.0,3000.0,196410.0,2.0,0.0,279000000.0,1.0,1.0,202312.0,9.0,9.0,1.0,0.0,12.0,400402813.0,361123627.0,263651503.0,,
HAWAII DENTAL SERVICE FOUNDATION,990246999,HAWAII DENTAL SERVICE FOUNDATION,% CHERYL TAKITANI-SMITH,900 FORT STREET MALL STE 1900,HONOLULU,HI,96813-3705,0.0,4.0,3.0,1000.0,198604.0,2.0,0.0,165000000.0,1.0,1.0,202312.0,9.0,6.0,1.0,0.0,12.0,60601387.0,4302725.0,2895568.0,,
HAWAII FETAL ALCOHOL SPECTRUM DISORDERS FASD ACTION GROUP,851001234,HAWAII FETAL ALCOHOL SPECTRUM DISORDERS FASD ACTION GROUP,% ANN YABUSAKI PHD MFT,PO BOX 6611,KANEOHE,HI,96744-9178,0.0,3.0,3.0,1000.0,202007.0,1.0,16.0,0.0,1.0,1.0,202312.0,3.0,3.0,1.0,0.0,12.0,83501.0,80411.0,80411.0,G20,
HAWAII FOOD ALLERGY & NUTRITION EDUCATION,992353432,HAWAII FOOD ALLERGY & NUTRITION EDUCATION,% ELIZABETH COTTERELL,201 OPIHIKAO WAY,HONOLULU,HI,96825-1122,0.0,3.0,3.0,1200.0,202404.0,1.0,16.0,0.0,1.0,1.0,,0.0,0.0,2.0,0.0,12.0,,,,E70,HUI NO HOOULU OLA
HAWAII GOOD FOOD ALLIANCE,834503785,HAWAII GOOD FOOD ALLIANCE,% TINA TAMAI,PO BOX 1334,KAUNAKAKAI,HI,96748-1334,0.0,3.0,3.0,1000.0,202007.0,1.0,15.0,0.0,1.0,1.0,202312.0,6.0,6.0,1.0,0.0,12.0,2083775.0,4925970.0,4925970.0,P20,
HAWAII HEALTH INFORMATION EXCHANGE,412201519,HAWAII HEALTH INFORMATION EXCHANGE,% HAWAII PRIMARY CARE ASSOCIATION,900 FORT STREET MALL STE 1050,HONOLULU,HI,96813-3716,0.0,3.0,3.0,1000.0,201001.0,1.0,15.0,0.0,1.0,1.0,202406.0,6.0,6.0,1.0,0.0,6.0,1374217.0,3423858.0,3423858.0,W050,
HAWAII HEALTH SYSTEMS FOUNDATION,990341762,HAWAII HEALTH SYSTEMS FOUNDATION,% KELLEY C ROBERSON,3675 KILAUEA AVE,HONOLULU,HI,96816-2333,0.0,3.0,3.0,1000.0,199911.0,1.0,17.0,0.0,1.0,1.0,,0.0,0.0,14.0,0.0,12.0,,,,T20,
HAWAII HEPTACHLOR RESEARCH & EDUCATION FOUNDATION,990258945,HAWAII HEPTACHLOR RESEARCH & EDUCATION FOUNDATION,% RICK SCUDDER ADMIN,PO BOX 3735,HONOLULU,HI,96812-3735,0.0,3.0,3.0,1000.0,199408.0,1.0,4.0,320000000.0,1.0,1.0,202312.0,5.0,4.0,0.0,1.0,12.0,683841.0,364665.0,,H99I,
HAWAII HOMELESS HEALTHCARE HUI,823190718,HAWAII HOMELESS HEALTHCARE HUI,,PO BOX 17460,HONOLULU,HI,96817-0460,0.0,3.0,3.0,1000.0,201804.0,1.0,12.0,0.0,1.0,1.0,202406.0,6.0,6.0,1.0,0.0,6.0,1511007.0,1359644.0,1359644.0,E30,
