Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date,Unnamed: 55
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-021239,HLH Administration,2975 Haleko Rd STE 306,Lihue,HI,96766-1366,808-240-0113,,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,10/05/2017,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.37008825,21.97462097,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-012257,West O`ahu Community Health,599 Farrington Hwy BLDG 1,Kapolei,HI,96707-2028,808-697-3800,www.wcchc.com,45.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/02/2013,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.07626153,21.33980962,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-013815,Kamaile Olakino Maika'i Health Center,85-180 Ala Akau St,Waianae,HI,96792-2323,808-697-3496,www.wcchc.com,10.0,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,04/30/2014,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.19510359,21.45644166,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00290,098550,BPS-H80-037425,HANA HIGH AND ELEMENTARY SCHOOL,4111 Hana Hwy,Hana,HI,96713,808-248-4815,www.hanahealth.org,36.0,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/01/2023,HANA HEALTH,4590 Hana Hwy,Hana,HI,96713,"Corporate Entity, Federal Tax Exempt",-156.00045546,20.77558076,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC) Look-Alike,LALCS31600,09E01287,BPS-LAL-027824,Wahiawa Health - Mobile,302 California Ave STE 106,Wahiawa,HI,96786-1841,808-622-1618,www.wahiawahealth.org,20.0,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,05/15/2019,THE WAHIAWA CENTER FOR COMMUNITY HEALTH,302 CALIFORNIA AVE STE 106A,WAHIAWA,HI,96786,,-158.03120394,21.49541835,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-021240,HLH Administration,2975 Haleko Rd STE 305,Lihue,HI,96766-1366,808-240-0113,,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,10/05/2017,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.37008825,21.97462097,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC) Look-Alike,LALCS31600,09E01287,BPS-LAL-021547,"Wahiawa Health - Finance, Billing/Coding, HR",302 California Ave STE 208,Wahiawa,HI,96786-1841,808-622-1618,www.wahiawahealth.org,45.0,7,All Other Clinic Types,1,Active,121862,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,01/01/2018,THE WAHIAWA CENTER FOR COMMUNITY HEALTH,302 CALIFORNIA AVE STE 106A,WAHIAWA,HI,96786,,-158.03117904,21.49538147,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-021237,HLH Administration,2975 Haleko Rd STE 309,Lihue,HI,96766-1366,808-240-0113,,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,10/05/2017,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.37008825,21.97462097,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-035016,WHCHC Kealakehe Elementary SBHC,74-5118 Kealakaa St,Kailua Kona,HI,96740-1520,808-326-5629,www.westhawaiichc.org,32.0,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,05/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.9825011,19.66950547,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-001879,Waipahu Family Health Center,94-428 Mokuola St STE 108B,Waipahu,HI,96797-3396,808-697-3300,www.wcchc.com,44.0,7,All Other Clinic Types,1,Active,121832,1730253626.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,02/07/2005,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.00603032,21.38765725,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-009450,West O`ahu Community Health,599 Farrington Hwy STE 100,Kapolei,HI,96707-2028,808-697-3300,www.wcchc.com,55.5,7,All Other Clinic Types,1,Active,121831,1356416986.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,05/04/2010,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.07626153,21.33980962,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00451,092160,BPS-H80-010543,Mobile Dental Van,45-549 Plumeria St,Honokaa,HI,96727-6902,808-333-8410,www.hamakua-health.org,60.0,7,All Other Clinic Types,1,Active,,1013993146.0,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,05/13/2011,"HAMAKUA HEALTH CENTER, INC",45-549 Plumeria St,Honokaa,HI,96727-6902,"Corporate Entity, Federal Tax Exempt",-155.47154166,20.07569048,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS02449,0912120,BPS-H80-008784,Molokai Community Health Center,30 Oki Pl,Kaunakakai,HI,96748,808-553-5038,www.molokaichc.org,50.0,7,All Other Clinic Types,1,Active,121824,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,06/29/2009,MOLOKAI OHANA HEALTH CARE INC,30 Oki Pl,Kaunakakai,HI,96748,"Corporate Entity, Federal Tax Exempt",-157.01841045,21.08636484,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS02449,0912120,BPS-H80-029656,"Molokai Community Health Center, buidling #8, Health Education and Nurtitional Counseling Department",30 Oki Pl,Kaunakakai,HI,96748,808-553-5038,,44.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/27/2019,MOLOKAI OHANA HEALTH CARE INC,30 Oki Pl,Kaunakakai,HI,96748,"Corporate Entity, Federal Tax Exempt",-157.01841045,21.08636484,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-035079,WHCHC Kealakehe Intermediate SBHC,74-5062 Onipaa St,Kailua Kona,HI,96740-1484,808-326-5629,www.westhawaiichc.org,16.0,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,05/01/2022,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.98483998,19.67064219,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00722,096040,BPS-H80-038961,2050 Administration,"2050 Main St, #2B",Wailuku,HI,96793-1685,808-871-7772,,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,07/26/2024,"COMMUNITY CLINIC OF MAUI, INC.",1881 Nani St,Wailuku,HI,96793-1811,"Corporate Entity, Federal Tax Exempt",-156.50247966,20.88760179,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00776,093410,BPS-H80-003578,Kokua Kalihi Valley Gulick Elder Center,1846 Gulick Ave,Honolulu,HI,96819-4212,808-848-0977,www.kkv.net,14.0,7,All Other Clinic Types,1,Active,121838,1689896953.0,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,12/15/1973,KOKUA KALIHI VALLEY (COMPREHENSIVE FAMILY SERVICES),2239 N School St,Honolulu,HI,96819-2539,"Corporate Entity, Federal Tax Exempt",-157.86883977,21.34165451,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06641,0925370,BPS-H80-007708,Kahuku,56-119 Pualalea St,Kahuku,HI,96731-2052,808-293-9231,www.koolauloachc.org,44.0,7,All Other Clinic Types,1,Active,121843,1528026952.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,12/08/2008,KO'OLAULOA HEALTH CENTER,56-119 Pualalea St,Kahuku,HI,96731-2052,"Corporate Entity, Federal Tax Exempt",-157.95224985,21.67646804,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-003927,MALAMA RECOVERY SERVICES,89-188 Farrington Hwy,Waianae,HI,96792-4124,808-697-3300,www.wcchc.com,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/02/2001,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.14381388,21.37995822,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00814,096010,BPS-H80-004166,OPTOMETRY/ADMIN,888 N King St,Honolulu,HI,96817-4595,808-841-0011,www.kphc.org,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,03/03/2007,KALIHI PALAMA HEALTH CENTER,915 N King St,Honolulu,HI,96817-4544,"Corporate Entity, Federal Tax Exempt",-157.86766965,21.32259319,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-004284,LEEWARD PEDIATRICS,87-2070 Farrington Hwy,Waianae,HI,96792-3757,808-697-3300,www.wcchc.com,44.0,7,All Other Clinic Types,1,Active,121802,1295928497.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,01/02/1991,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.15114227,21.38675946,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00852,091290,BPS-H80-036882,HLH Mobile East,4800 Kawaihau Rd STE D,Kapaa,HI,96746-1964,808-240-0100,,40.0,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/07/2023,HO-OLA LAHUI HAWAII INC,"4491 Rice St, Ste 106",Lihue,HI,96766-1805,"Corporate Entity, Federal Tax Exempt",-159.31291277,22.08351145,N,N,15007,Kauai County,Kauai,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-013918,WHCHC -- Kealakekua Adult Health,81-980 Halekii St STE 107,Kealakekua,HI,96750-8177,808-324-0703,,47.5,7,All Other Clinic Types,1,Active,121852,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,06/10/2014,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.92173204,19.51854137,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-038878,Makaha Health,84-225 Ala Naauao Pl,Waianae,HI,96792-1840,808-697-3457,,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,07/08/2024,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.2119893,21.46974388,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-007278,MOBILE SERVICE VAN,86-260 Farrington Hwy,Waianae,HI,96792-3128,808-697-3300,www.wcchc.com,6.0,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,01/01/1988,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.180635,21.42935638,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00814,096010,BPS-H80-018125,710 North King Street,710 N King St,Honolulu,HI,96817-5769,808-791-6315,www.kphc.org,40.0,7,All Other Clinic Types,1,Active,121861,1457304966.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,06/16/2016,KALIHI PALAMA HEALTH CENTER,915 N King St,Honolulu,HI,96817-4544,"Corporate Entity, Federal Tax Exempt",-157.86610282,21.32037005,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS02449,0912120,BPS-H80-032311,"Temporary Site - The Great Room, Bldg. 10",30 Oki Pl,Kaunakakai,HI,96748,808-660-2598,,40.0,7,All Other Clinic Types,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,04/08/2021,MOLOKAI OHANA HEALTH CARE INC,30 Oki Pl,Kaunakakai,HI,96748,"Corporate Entity, Federal Tax Exempt",-157.01841045,21.08636484,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00722,096040,BPS-H80-005024,Community Clinic of Maui KHAO Satellite Clinic,670 Waiale Rd,Wailuku,HI,96793-2375,808-244-0220,,35.0,7,All Other Clinic Types,1,Active,121819,1225281793.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,07/01/2000,"COMMUNITY CLINIC OF MAUI, INC.",1881 Nani St,Wailuku,HI,96793-1811,"Corporate Entity, Federal Tax Exempt",-156.49936126,20.8755189,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-011371,WHCHC -- Kealakehe Family Medical and Dental,Keanalehu Dr,Kailua Kona,HI,96740,808-355-5600,www.westhawaiichc.org,42.5,7,All Other Clinic Types,1,Active,121855,1053703066.0,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,05/01/2012,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.99573775,19.66885959,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-032121,James and Abigail Campbell Clinic,89-102 Farrington Hwy UNIT 3000,Waianae,HI,96792-4160,808-697-3900,www.wcchc..com,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,03/04/2021,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.14345648,21.38153414,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00646,092290,BPS-H80-030865,Mobile Van,41-1347 Kalanianaole Hwy,Waimanalo,HI,96795-1247,808-259-7948 x97948,,2.0,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,06/08/2020,WAIMANALO HEALTH CENTER,41-1347 Kalanianaole Hwy,Waimanalo,HI,96795-1247,"Corporate Entity, Federal Tax Exempt",-157.71618896,21.34713439,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC) Look-Alike,LALCS31600,09E01287,BPS-LAL-031876,Wahiawa Health - Behavioral Health,302 California Ave STE 214,Wahiawa,HI,96786-1841,808-622-1618,www.wahiawahealth.org,48.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,10/07/2020,THE WAHIAWA CENTER FOR COMMUNITY HEALTH,302 CALIFORNIA AVE STE 106A,WAHIAWA,HI,96786,,-158.03117904,21.49538147,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS02449,0912120,BPS-H80-028306,"Molokai Community Health Center, Building #10, Registration Department",30 Oki Pl,Kaunakakai,HI,96748,808-553-5038,,44.0,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,09/04/2019,MOLOKAI OHANA HEALTH CARE INC,30 Oki Pl,Kaunakakai,HI,96748,"Corporate Entity, Federal Tax Exempt",-157.01841045,21.08636484,N,N,15009,Maui County,Maui,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-015755,Waianae Intermediate School School-based Health Center,85-626 Farrington Hwy,Waianae,HI,96792-2419,808-697-3457,www.wcchc.com,40.0,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,08/11/2015,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.19322319,21.4514761,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS06640,0924640,BPS-H80-000003,WHCHC -- Kealakekua Keiki  Medical,"81-6627 Mamalahoa Hwy, Ste 106",Kealakekua,HI,96750-8180,808-323-8005,www.westhawaiichc.org,40.0,7,All Other Clinic Types,1,Active,121849,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,04/21/2008,WEST HAWAII COMMUNITY HEALTH CENTER INC,75-5751 Kuakini Hwy,Kailua Kona,HI,96740-1735,"Corporate Entity, Federal Tax Exempt",-155.92054432,19.51581964,N,N,15001,Hawaii County,Hawaii,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC) Look-Alike,LALCS31600,09E01287,BPS-LAL-032489,Wahiawa Center for Community Health - Admin,"302 California Ave, Ste 217",Wahiawa,HI,96786-1841,808-622-1618,https://www.wahiawahealth.org/,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,05/19/2021,THE WAHIAWA CENTER FOR COMMUNITY HEALTH,302 CALIFORNIA AVE STE 106A,WAHIAWA,HI,96786,,-158.03120394,21.49541835,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1502,2,Hawaii District 02,HI-02,Jill N. Tokuda,Brian Schatz,Mazie K. Hirono,06/14/2025,
Federally Qualified Health Center (FQHC),H80CS00807,090990,BPS-H80-029453,Waipahu Family Health Center,94-428 Mokuola St STE 213,Waipahu,HI,96797-3396,808-697-3839,,40.0,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,09/20/2019,"WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED",86-260 Farrington Hwy,Waianae,HI,96792-3128,"Corporate Entity, Federal Tax Exempt",-158.00594407,21.38761852,N,N,15003,Honolulu County,Honolulu,County            ,09,Region 9,15,Hawaii,1501,1,Hawaii District 01,HI-01,Ed Case,Brian Schatz,Mazie K. Hirono,06/14/2025,
